Sno,MatchID,Team1,Team2,Winner,Year,Ground,Runs,Fours,Sixes,MatchTime,Ha1,Ha2,T1w,T2w,T1b,Groundcapacity,AvgSR
0,637,New Zealand,West Indies,no result,2018,Mount Maunganui,99,12,4,night,1,0,0,1,1,20000,127.7916667
1,638,New Zealand,West Indies,New Zealand,2018,Mount Maunganui,349,22,24,night,1,0,1,0,1,20000,125.27
2,639,New Zealand,Pakistan,New Zealand,2018,Wellington,204,13,7,daynight,1,0,1,0,0,33500,123.268125
3,640,New Zealand,Pakistan,Pakistan,2018,Auckland,327,29,14,night,1,0,0,1,0,41000,126.3264706
4,641,New Zealand,Pakistan,Pakistan,2018,Mount Maunganui,335,27,14,night,1,0,0,1,0,20000,134.8475
5,642,Australia,New Zealand,Australia,2018,Sydney,199,16,6,night,0,0,1,0,0,44002,132.322
6,647,New Zealand,England,New Zealand,2018,Wellington,361,30,19,night,1,0,0,1,1,33500,132.6505556
7,649,New Zealand,Australia,Australia,2018,Auckland,456,33,32,night,0,0,1,0,1,41000,138.34
8,650,New Zealand,England,England,2018,Hamilton,368,22,27,night,1,0,1,0,0,10000,152.1286667
9,653,New Zealand,Australia,Australia,2018,Auckland,257,19,10,night,0,0,1,0,1,41000,134.961875
10,705,New Zealand,Pakistan,Pakistan,2018,Abu Dhabi,286,24,9,night,0,0,0,1,0,20000,134.20125
11,706,New Zealand,Pakistan,Pakistan,2018,Dubai (DSC),294,20,11,night,0,0,1,0,1,25000,135.3986667
12,708,New Zealand,Pakistan,Pakistan,2018,Dubai (DSC),280,26,7,night,0,0,0,1,0,25000,121.485625
0,652,South Africa,India,India,2018,Johannesburg,359,37,12,day,1,0,1,0,0,28000,120.8211111
1,654,South Africa,India,South Africa,2018,Centurion,369,30,19,night,1,0,1,0,0,20000,136.3366667
2,655,South Africa,India,India,2018,Cape Town,325,28,9,night,1,0,1,0,0,25000,147.223125
3,656,Sri Lanka,India,Sri Lanka,2018,Colombo (RPS),328,25,16,night,0,0,1,0,0,35000,141.5184615
