,Team1,Team2,MatchTime,Ha1,Ha2,T1w,T2w,T1b,Groundcapacity,AvgSR,CRating,Elevel
407,South Africa,Australia,night,1,0,0,1,1,20000,130.1853333,228,L
408,Australia,Pakistan,daynight,0,0,1,0,0,25000,114.9711111,230,H
409,Australia,West Indies,daynight,0,0,1,0,1,25000,123.8275,224,H
410,Australia,India,night,0,0,1,0,0,25000,114.0255,240,L
411,Bangladesh,Australia,daynight,0,0,1,0,1,25000,129.8663636,181,H
412,Australia,Pakistan,night,0,0,0,1,0,25000,96.82588235,230,L
413,Australia,South Africa,night,1,0,1,0,1,50000,110.5723077,228,L
414,Australia,South Africa,night,1,0,0,1,0,90000,109.165,228,L
415,Australia,South Africa,night,1,0,1,0,0,78000,99.57277778,228,L
418,South Africa,Sri Lanka,daynight,0,0,0,1,0,22000,122.7115789,251,L
419,New Zealand,South Africa,daynight,0,0,1,0,0,22000,118.1629412,225,L
421,India,South Africa,night,0,0,0,1,0,25000,126.1758333,248,A
425,New Zealand,West Indies,night,1,0,1,0,1,41000,113.3605882,221,L
426,New Zealand,West Indies,night,1,0,0,1,0,33500,123.3553333,221,A
430,India,West Indies,night,0,0,1,0,0,25000,121.9685714,244,A
431,Bangladesh,West Indies,daynight,0,0,1,0,0,25000,108.0968421,185,A
433,Pakistan,West Indies,night,0,0,0,1,0,25000,111.0305263,234,A
434,Sri Lanka,West Indies,night,0,0,1,0,1,25000,122.9215385,247,L
435,West Indies,New Zealand,day,1,0,0,1,1,20000,127.652,221,L
436,West Indies,New Zealand,day,1,0,0,1,1,20000,115.3515789,221,A
437,West Indies,Bangladesh,night,1,0,0,1,0,8000,107.045,185,L
442,New Zealand,Sri Lanka,night,0,0,1,0,0,22000,110.8204545,240,L
445,New Zealand,Pakistan,night,0,0,0,1,1,25000,101.4107143,227,L
446,New Zealand,Pakistan,night,0,0,0,1,1,25000,93.56857143,227,L
447,India,Pakistan,night,0,0,1,0,0,25000,113.9507692,250,L
449,Bangladesh,India,night,0,0,0,1,1,25000,113.4784615,201,A
452,India,Sri Lanka,night,0,0,0,1,1,25000,122.1918182,263,A
456,Bangladesh,Pakistan,daynight,0,0,0,1,0,25000,111.693125,191,A
461,Bangladesh,Sri Lanka,daynight,1,0,1,0,0,22000,106.7117647,204,L
462,Bangladesh,Sri Lanka,daynight,1,0,1,0,1,22000,106.759,204,L
469,New Zealand,England,night,1,0,1,0,0,41000,134.3535,216,H
470,New Zealand,England,night,1,0,0,1,1,10000,128.5668421,216,H
471,New Zealand,England,night,1,0,0,1,1,33500,131.9809091,216,A
472,England,New Zealand,night,1,0,1,0,0,23500,145.8730769,216,H
473,England,New Zealand,night,1,0,0,1,1,23500,157.3666667,216,L
474,England,Australia,night,1,0,1,0,0,6500,153.384375,220,H
475,England,Australia,day,1,0,0,1,1,5000,144.8927778,220,H
476,Australia,Sri Lanka,night,1,0,1,0,1,78000,129.2208333,234,L
477,Australia,Sri Lanka,night,1,0,1,0,0,90000,138.3981818,234,L
478,Australia,West Indies,night,1,0,0,1,0,37000,132.5694444,228,L
481,India,Australia,night,1,0,1,0,0,28000,157.4766667,221,H
482,South Africa,Pakistan,day,1,0,0,1,0,20000,89.6325,233,H
483,Sri Lanka,South Africa,night,1,0,0,1,0,35000,106.4063158,246,L
484,Sri Lanka,South Africa,night,1,0,0,1,0,35000,112.1952941,246,L
485,Sri Lanka,South Africa,night,1,0,0,1,0,35000,117.6345455,246,H
486,Pakistan,South Africa,night,0,0,1,0,1,25000,110.1392308,233,L
487,Pakistan,South Africa,night,0,0,0,1,0,25000,107.9029412,233,L
488,South Africa,Pakistan,night,1,0,0,1,1,28000,113.3638462,233,A
489,South Africa,Pakistan,night,1,0,0,1,0,25000,124.5141667,233,A
491,West Indies,Pakistan,day,1,0,1,0,1,20000,119.51,245,H
492,West Indies,Pakistan,day,1,0,0,1,0,20000,120.4165,245,L
498,Bangladesh,New Zealand,day,1,0,0,1,0,25000,141.5261111,180,H
499,Sri Lanka,New Zealand,night,1,0,1,0,0,35000,124.0561538,230,L
508,Afghanistan,Pakistan,night,0,0,1,0,1,16000,125.539375,247,L
509,Pakistan,Sri Lanka,night,0,0,1,0,0,25000,125.52875,251,L
510,Pakistan,Sri Lanka,night,0,0,1,0,0,25000,129.8913333,251,H
513,Sri Lanka,Bangladesh,day,1,0,0,1,1,35000,126.944375,214,A
520,Australia,England,night,1,0,1,0,1,44002,119.8727778,234,A
521,England,West Indies,day,1,0,0,1,0,23500,118.0931579,203,A
